run_id,seed,n_transactions,n_counterfeit,n_anomalies,counterfeit_detection_rate,ai_only_counterfeit_detection_rate,recall_efficiency,ai_only_recall_efficiency,temperature_anomaly_detection_rate,cnn_weighted_f1,lstm_mape,lstm_r2
0,42,230000,2300,12075,0.7186956521739131,0.58,0.36207039337474123,0.002070393374741201,0.8767426506752749,0.969883494412095,8.475741777113882,0.9611437572820237
1,43,230000,2300,12075,0.7160869565217391,0.5695652173913044,0.3667908902691511,0.0017391304347826088,0.8911715837329647,0.9674035240494441,8.825787395874054,0.9468989339528161
2,44,230000,2300,12075,0.7191304347826087,0.5804347826086956,0.3667080745341615,0.0019047619047619048,0.887411826567117,0.9618550569860048,8.493186800862308,0.9785761323181472
3,45,230000,2300,12075,0.7178260869565217,0.5847826086956521,0.3708488612836439,0.002815734989648033,0.9043685488575847,0.9660689576040644,8.455615751790708,0.9578977787120787
4,46,230000,2300,12075,0.7221739130434782,0.5869565217391305,0.3641407867494824,0.0014906832298136647,0.9021423802813991,0.9706019471216182,8.747549832574819,0.9545988159985934
5,47,230000,2300,12075,0.7269565217391304,0.577391304347826,0.37010351966873706,0.002650103519668737,0.895066245781966,0.9665905329419718,8.488583201665897,0.9800227734334304
6,48,230000,2300,12075,0.7234782608695652,0.5721739130434783,0.3672049689440994,0.001987577639751553,0.8729033039384496,0.9631372265652876,8.352106458147109,0.9689355102521723
7,49,230000,2300,12075,0.7078260869565217,0.578695652173913,0.35975155279503107,0.001987577639751553,0.8883593223876658,0.9745961572361929,8.60223093432963,0.9665918908461737
8,50,230000,2300,12075,0.7191304347826087,0.5647826086956522,0.3609109730848861,0.001987577639751553,0.8922089898374848,0.971971415270941,8.229086320492208,0.968743999749028
9,51,230000,2300,12075,0.707391304347826,0.5643478260869565,0.36496894409937886,0.0014078674948240165,0.9043503214440208,0.9748735947918202,9.07221066073522,0.9660574170431615
